Area,Bedrooms,Bathrooms,Garage,Grade,LotArea,Location,Price
3676,4,5,2,9,4179,Downtown,1030784
3650,4,6,4,8,6185,Downtown,1065752
2749,2,7,3,9,1036,Beachfront,797977
1118,1,5,1,3,3375,Suburb,364312
1001,3,1,2,3,7041,Beachfront,351625
2112,9,1,0,5,1841,Beachfront,615487
3248,5,4,0,9,4661,Beachfront,947714
3722,7,5,2,7,2029,Beachfront,994233
2288,6,9,3,9,3573,Beachfront,776314
3159,2,2,0,2,9935,Suburb,831458
957,8,4,4,8,3700,Suburb,490448
2644,5,3,2,8,6433,Countryside,841531
740,9,6,3,5,9742,Beachfront,488817
3402,7,7,4,9,8359,Suburb,1005301
3446,7,9,3,9,7296,Beachfront,1088520
2011,5,9,3,7,5695,Suburb,699763
4514,7,3,4,4,9569,Countryside,1215281
2324,5,9,1,9,3158,Beachfront,749315
3070,5,2,2,2,4823,Suburb,744381
2246,2,6,1,1,8415,Suburb,595341
2006,5,7,3,3,5654,Downtown,637883
2640,8,5,4,7,3596,Beachfront,805739
4628,5,7,0,5,3926,Beachfront,1174010
3009,1,2,0,7,3464,Beachfront,727042
4389,6,4,2,5,7729,Countryside,1172904
4809,2,6,1,4,1998,Beachfront,1141460
992,6,1,1,2,8351,Countryside,338155
4874,6,6,2,7,3871,Suburb,1258861
1478,8,2,3,4,8887,Beachfront,562344
2658,6,8,0,6,8906,Downtown,839617
2127,4,4,1,8,6932,Suburb,642842
3580,9,9,3,7,6805,Beachfront,1098393
2427,3,5,0,7,9633,Beachfront,777560
2762,1,2,4,8,5630,Downtown,744369
2793,9,7,0,1,1280,Suburb,696624
4453,7,8,1,1,6809,Beachfront,1095781
1284,8,8,3,4,7382,Downtown,528733
1057,7,7,3,9,1623,Beachfront,463760
4060,5,9,4,3,5593,Beachfront,1100720
912,2,4,1,3,6002,Downtown,342427
3458,4,6,2,7,9778,Suburb,1019922
3211,1,1,2,9,3262,Suburb,811555
3417,9,9,4,7,3938,Downtown,979180
1663,6,5,0,1,2152,Suburb,419216
2144,8,6,3,6,9910,Countryside,722991
1373,2,1,4,3,4310,Countryside,361905
2620,7,1,4,7,5604,Beachfront,800420
712,6,3,3,1,3266,Countryside,291196
4846,9,4,0,4,4714,Suburb,1212441
2487,8,4,1,3,5997,Downtown,693299
1226,1,5,2,4,1791,Downtown,419266
4121,1,1,4,4,3216,Downtown,956713
2994,8,8,0,2,5601,Beachfront,799407
4973,8,3,3,4,3643,Downtown,1214960
4143,5,6,1,5,6848,Countryside,1097941
4579,2,7,1,5,8290,Suburb,1127700
641,1,5,4,5,5968,Suburb,364387
1841,2,2,2,7,7096,Suburb,594591
842,1,9,1,2,9894,Beachfront,391537
1099,7,8,4,8,2011,Beachfront,546297
2816,8,7,3,8,1348,Downtown,848667
3959,9,5,1,1,8974,Suburb,1012687
4393,2,9,4,5,8931,Suburb,1180634
2281,5,8,4,1,8564,Downtown,702632
4629,6,1,0,6,6799,Beachfront,1109846
2896,9,6,1,8,4872,Countryside,920474
2020,1,5,4,8,9342,Countryside,717804
1239,8,3,4,1,2818,Suburb,449909
3793,6,6,3,9,3899,Beachfront,1018426
4050,4,6,0,9,3388,Countryside,1030192
3158,5,6,3,2,3075,Countryside,849882
4691,9,1,3,3,3842,Countryside,1096404
3885,6,4,3,1,5395,Downtown,986070
3720,7,6,3,5,8314,Suburb,1034793
3390,6,8,1,6,7125,Countryside,970400
4568,6,5,0,9,8978,Beachfront,1194642
3947,4,6,4,4,6154,Countryside,1051784
2137,3,6,0,1,2847,Countryside,556072
789,6,7,0,3,6881,Suburb,349451
4903,1,1,3,7,1111,Downtown,1136121
4608,4,6,2,1,5481,Countryside,1125921
4475,5,3,2,2,3787,Downtown,1057935
1549,2,5,4,4,8853,Downtown,527867
3855,8,2,1,5,6390,Downtown,1010456
2249,4,5,0,6,6944,Countryside,689299
4095,9,4,4,5,3108,Downtown,1081960
672,2,4,2,9,1564,Beachfront,373614
3898,1,9,4,4,6250,Suburb,970803
4687,4,2,0,5,9678,Beachfront,1190822
3004,3,2,1,9,8810,Downtown,915735
1608,1,5,4,9,7697,Suburb,576647
4160,8,8,3,8,8006,Countryside,1235722
1140,3,2,2,3,8174,Beachfront,387744
4403,9,8,1,2,4520,Downtown,1150927
1266,5,5,0,1,2494,Countryside,335891
1197,4,2,3,5,7704,Suburb,461657
1826,1,2,2,3,4504,Beachfront,487014
1587,6,7,0,2,3405,Downtown,498314
2542,2,7,2,8,1206,Beachfront,727265
1193,2,1,4,4,8934,Countryside,441869
2526,2,9,1,3,7539,Suburb,673965
2556,6,7,4,2,5633,Downtown,714517
1083,9,4,3,1,2134,Countryside,352813
3387,9,9,4,7,6181,Beachfront,1053844
1225,7,8,0,7,1859,Countryside,524330
1198,4,1,2,9,4666,Suburb,500658
3497,5,5,4,3,3856,Countryside,864319
2254,4,7,2,6,6258,Downtown,757424
3869,4,4,1,3,8786,Countryside,991450
1421,4,7,1,1,3967,Downtown,446533
1366,8,6,4,2,4962,Countryside,471228
4441,5,3,4,9,4755,Suburb,1179994
2187,8,8,3,4,1996,Downtown,671965
4805,1,7,3,5,2262,Beachfront,1177822
1072,3,1,0,7,2726,Downtown,421678
1776,5,3,0,9,7348,Downtown,669639
1005,2,4,0,9,3464,Countryside,407914
3334,8,4,3,4,4261,Suburb,938493
3602,2,1,0,4,1188,Countryside,792439
709,2,2,4,9,9723,Suburb,468615
2587,6,4,4,5,5159,Countryside,765626
783,2,4,1,5,3137,Suburb,367161
915,7,5,2,5,1992,Suburb,438779
1756,5,6,2,4,6923,Countryside,543515
2373,6,1,2,6,1007,Countryside,679878
3883,1,5,2,9,5439,Downtown,1050718
881,2,7,3,7,3454,Countryside,374984
3733,7,7,3,6,7562,Countryside,1055101
1980,1,6,4,8,9966,Downtown,644893
1572,1,4,4,9,1209,Suburb,500852
2223,7,8,4,7,6257,Downtown,753005
587,6,3,3,4,3093,Downtown,330199
4205,3,8,1,8,1585,Suburb,1053351
3862,9,5,3,1,4429,Downtown,1022631
1023,4,3,3,6,7683,Beachfront,428172
2769,5,1,4,8,1030,Downtown,779253
2019,7,2,2,6,9985,Suburb,646453
3168,2,3,4,5,3321,Downtown,821365
3423,3,7,0,9,3754,Beachfront,991629
618,4,4,4,8,5012,Suburb,391614
1905,4,9,2,3,5086,Beachfront,580819
1381,4,6,2,1,7616,Countryside,487534
4262,2,6,0,7,4005,Countryside,1065664
738,5,9,4,9,8310,Downtown,511838
2536,6,7,2,8,7338,Beachfront,779885
2538,1,7,3,3,3782,Beachfront,704096
1269,7,5,1,5,5629,Beachfront,537312
1530,3,2,2,7,4595,Suburb,537955
2995,4,3,2,5,3733,Downtown,756814
1801,4,2,0,2,2132,Downtown,420841
1433,8,2,0,4,2849,Countryside,429695
3870,6,5,0,3,3802,Beachfront,965422
2913,8,3,1,2,5355,Countryside,803885
917,8,8,2,9,5421,Downtown,552793
4197,5,8,4,1,2693,Beachfront,1062658
914,1,8,0,9,1622,Suburb,411580
2227,8,9,4,6,1173,Countryside,748208
4178,3,9,3,5,1542,Suburb,1024477
663,2,9,1,6,9803,Suburb,398050
2230,6,2,3,7,4055,Suburb,720725
4389,4,9,1,7,7053,Downtown,1124736
4739,5,4,0,7,4714,Downtown,1180210
3418,5,3,2,5,9990,Suburb,912086
917,1,7,3,7,1969,Downtown,438184
990,5,6,4,9,1614,Downtown,511157
3920,7,2,2,6,4158,Downtown,993176
1708,4,8,4,2,6083,Beachfront,515153
3262,9,4,0,6,6177,Countryside,953043
4203,8,8,0,6,9331,Countryside,1144611
2354,2,3,0,1,1991,Beachfront,525882
3144,4,2,4,6,4830,Countryside,858260
3148,8,3,2,3,9356,Downtown,832161
4685,1,2,3,3,5689,Suburb,1031903
4623,5,2,3,1,6718,Countryside,1072620
2921,5,8,2,1,7710,Suburb,775666
4301,1,4,1,1,8390,Suburb,998340
3759,8,9,1,4,5919,Suburb,1054470
4345,4,5,1,6,3676,Beachfront,1058480
4374,5,1,2,9,8083,Beachfront,1192408
1011,4,3,2,9,9330,Downtown,499259
1381,2,7,3,3,9562,Countryside,519851
1159,7,1,0,9,2331,Countryside,463867
1624,3,4,0,7,8163,Beachfront,576308
1928,3,3,3,5,9526,Downtown,578006
522,1,4,1,7,5955,Suburb,314794
979,9,6,3,2,5753,Countryside,467432
3992,3,7,4,8,9764,Downtown,1076708
4060,3,6,4,1,4050,Suburb,996369
4450,7,7,3,1,1236,Suburb,1042942
2471,5,3,4,4,5509,Downtown,660589
3271,6,5,4,3,8943,Downtown,872063
2579,2,8,3,3,6642,Downtown,758477
689,5,4,2,1,9384,Downtown,352330
2586,9,1,1,9,1384,Beachfront,753756
1909,5,1,1,3,8922,Countryside,616048
998,7,1,2,7,6310,Downtown,484130
4211,8,6,4,3,2539,Countryside,1094442
3772,2,5,0,6,1279,Countryside,949485
2669,4,5,2,2,1885,Downtown,706803
1574,6,2,3,7,9252,Countryside,589704
2706,1,4,2,4,8102,Suburb,777399
2626,9,4,2,9,1717,Downtown,816252
3245,5,3,3,2,8550,Countryside,889580
4790,8,6,3,4,4906,Suburb,1229500
2037,7,7,4,5,7780,Beachfront,682226
4913,3,5,3,1,2083,Downtown,1090061
4984,5,4,0,5,5752,Beachfront,1216030
3485,1,8,3,3,4071,Suburb,861211
664,4,1,2,4,4724,Downtown,318476
2172,8,1,0,8,5295,Suburb,741102
4276,9,3,1,3,8707,Downtown,1115126
3168,4,5,2,1,1198,Beachfront,769898
4863,7,6,3,9,5662,Beachfront,1332723
4303,5,2,3,2,8617,Countryside,1072097
4389,5,1,3,7,3544,Countryside,1133352
4575,9,7,3,7,3908,Beachfront,1190630
728,3,2,2,5,9588,Downtown,354414
4121,5,8,2,1,6379,Countryside,1022775
4822,9,3,2,7,5926,Suburb,1292960
1887,5,7,4,8,5616,Countryside,706474
3856,1,5,2,1,8742,Downtown,981523
1103,5,6,3,1,3115,Suburb,380930
3726,3,8,2,3,3841,Beachfront,944648
4836,3,6,2,1,8324,Countryside,1108768
3534,1,9,0,1,7180,Countryside,857546
504,5,2,0,2,7466,Beachfront,270680
1579,6,6,4,9,7283,Suburb,628060
1752,3,3,4,1,3984,Countryside,521371
3444,4,5,0,2,2671,Beachfront,829758
854,1,7,4,6,4350,Countryside,415793
2643,8,4,4,5,2086,Suburb,779960
4659,2,2,1,8,8834,Countryside,1184632
1999,3,9,1,3,8082,Suburb,590605
3275,3,1,3,5,9119,Downtown,908513
885,6,1,1,2,7756,Countryside,340046
4004,7,6,0,1,3622,Downtown,952431
636,8,4,4,3,1902,Beachfront,345091
3641,5,4,2,6,3117,Countryside,973582
913,6,4,3,7,3332,Suburb,413555
4994,5,4,0,1,2731,Suburb,1134982
4346,2,1,2,7,9094,Countryside,1075453
2568,4,2,0,7,6993,Beachfront,786840
2255,2,9,1,6,4686,Suburb,713272
4687,5,3,1,7,7521,Beachfront,1149164
3012,8,9,2,8,8656,Countryside,1011249
2100,9,2,2,1,7702,Suburb,661339
3594,6,9,0,1,4280,Suburb,950634
1939,4,1,0,9,4336,Beachfront,655797
3877,9,5,4,9,5073,Suburb,1147446
2100,2,1,3,7,3696,Downtown,579095
3875,7,2,0,8,3685,Countryside,1023188
540,9,2,2,4,5142,Countryside,355226
1903,7,9,0,7,2338,Suburb,630969
4193,8,6,0,5,3466,Beachfront,1037533
2541,1,3,3,3,8722,Suburb,730567
4259,8,1,1,1,9416,Countryside,1085999
4015,4,1,3,3,2352,Beachfront,959931
3702,7,7,2,5,2310,Downtown,958730
943,8,4,2,4,1063,Countryside,377566
919,8,2,0,5,1287,Beachfront,370247
1002,8,2,4,7,4769,Countryside,489205
716,6,4,1,4,8032,Countryside,331608
2355,9,9,1,7,1707,Downtown,717619
3103,3,9,1,9,2971,Downtown,925216
2857,1,6,2,5,5864,Suburb,728389
4369,4,8,0,5,9945,Countryside,1114130
1926,9,2,2,1,8463,Suburb,627480
3891,9,8,4,2,8368,Countryside,1102254
2687,6,9,0,6,9034,Countryside,805420
3494,7,8,4,9,2605,Countryside,972398
4656,3,9,1,6,6139,Suburb,1203335
4798,1,8,1,6,9453,Suburb,1188964
1794,4,8,3,7,9331,Countryside,714532
599,9,2,3,1,1958,Suburb,315306
4623,6,8,1,3,2010,Countryside,1161093
3241,8,3,1,2,7694,Countryside,911248
4767,4,9,3,1,9306,Suburb,1205766
954,4,6,2,8,9052,Downtown,509293
2035,7,4,2,9,9027,Suburb,775167
2644,6,5,2,8,1580,Beachfront,744548
4181,9,2,0,6,5426,Suburb,1050639
993,9,5,4,7,3448,Beachfront,448828
712,6,1,1,3,5791,Beachfront,308724
1476,4,4,2,8,7333,Countryside,595121
1410,9,9,1,8,5136,Countryside,668593
4302,4,5,3,5,5207,Downtown,1053072
4555,9,8,0,9,7878,Beachfront,1320881
3419,4,9,0,3,2126,Beachfront,909281
751,5,2,4,6,5886,Suburb,403252
3565,3,9,3,5,5582,Countryside,1005329
3856,4,3,3,1,7280,Suburb,949003
2301,5,2,2,3,2081,Beachfront,631281
3372,7,9,2,8,9819,Countryside,1042441
1923,8,3,0,4,7471,Beachfront,618946
1954,7,5,0,7,1966,Beachfront,666287
2123,8,9,3,7,9272,Suburb,784662
4989,6,6,3,3,1688,Beachfront,1179448
1933,7,9,1,4,4459,Countryside,681922
2160,9,1,1,7,5708,Countryside,659827
1029,8,9,3,1,9227,Suburb,452913
1690,1,8,3,8,6547,Downtown,580736
4711,5,2,4,4,5871,Countryside,1148226
3529,9,3,0,5,6190,Countryside,1001680
3235,3,9,4,6,6110,Downtown,924032
4824,7,1,1,1,9940,Suburb,1172209
3045,2,1,0,9,8071,Suburb,857256
2792,8,7,4,1,9173,Beachfront,801799
1343,7,5,4,3,8724,Downtown,525302
3170,1,4,4,9,4658,Downtown,836231
2706,6,9,0,2,8599,Downtown,837487
2871,6,3,2,6,7578,Suburb,808385
3709,8,6,3,6,3812,Suburb,1016879
3642,2,2,3,6,5092,Countryside,956165
4743,7,2,2,9,9500,Suburb,1232039
3356,3,8,3,3,8577,Suburb,883562
2247,3,4,0,1,3323,Downtown,603858
3060,4,7,0,8,3916,Countryside,863390
1053,8,2,2,8,6420,Suburb,509066
4566,4,3,4,5,3284,Beachfront,1056507
2668,4,6,1,6,4772,Countryside,796798
2156,7,9,4,3,9458,Countryside,700469
1087,8,4,2,4,5194,Suburb,412965
727,9,3,3,3,7594,Beachfront,382782
684,4,1,0,1,5902,Suburb,232710
4939,5,1,2,1,6055,Suburb,1139941
3186,5,8,2,9,6144,Beachfront,940646
3378,3,5,4,5,9397,Countryside,907678
4479,4,1,2,8,9355,Countryside,1186337
679,2,2,4,7,9816,Suburb,395880
1243,1,1,3,1,3743,Suburb,377802
2919,3,4,2,5,9206,Downtown,832191
776,7,3,4,5,1690,Beachfront,352514
3922,9,3,0,4,3652,Downtown,973824
3804,1,5,1,6,3252,Suburb,932460
4856,5,6,3,6,3601,Countryside,1167338
4776,6,9,0,9,2085,Downtown,1213228
2553,1,3,2,8,6008,Countryside,738046
2871,5,4,4,2,6304,Downtown,775401
1785,6,3,0,3,4467,Suburb,551325
1048,2,4,4,4,6962,Beachfront,431332
3130,2,1,4,3,2216,Beachfront,786971
2298,7,2,2,2,2380,Downtown,648767
4110,3,1,4,5,6496,Suburb,1065330
4933,7,9,3,3,9775,Suburb,1279806
3578,4,1,3,9,7906,Downtown,966369
3351,6,6,1,5,8928,Beachfront,941153
3009,1,4,4,6,1520,Beachfront,757395
1786,7,5,3,7,2321,Beachfront,595395
4812,4,7,4,4,9834,Beachfront,1282439
1515,1,1,2,5,8971,Countryside,496626
4854,7,8,3,6,3971,Beachfront,1275949
911,9,6,2,9,2121,Countryside,515462
1769,7,4,3,3,1247,Downtown,543462
4185,2,5,4,3,5970,Downtown,1035834
1334,5,8,4,5,2985,Suburb,496014
1553,9,4,4,1,9639,Countryside,604819
1997,9,8,4,5,8024,Beachfront,742695
1459,3,9,2,2,6945,Suburb,456841
1654,2,8,0,5,7296,Beachfront,554092
2520,1,3,3,1,1295,Downtown,603065
3387,3,9,2,5,8117,Beachfront,978917
4531,5,5,3,9,4399,Suburb,1195045
4306,1,8,4,8,5176,Countryside,1171106
4869,5,1,1,1,1386,Beachfront,1046038
4808,6,9,0,8,2729,Suburb,1274604
1448,5,1,0,2,8948,Suburb,442533
1701,5,9,0,8,4242,Suburb,610766
4807,3,8,2,1,5452,Countryside,1096051
4399,7,3,2,6,8580,Downtown,1192514
4961,2,9,3,3,2102,Suburb,1181754
3448,3,8,4,1,3862,Countryside,887289
2425,2,3,4,4,4352,Downtown,655397
3689,4,6,4,7,5866,Downtown,1050067
1083,6,1,4,2,2562,Beachfront,371941
3302,2,1,2,4,9868,Countryside,855203
1045,3,5,1,3,1023,Countryside,300971
4559,9,3,1,9,8121,Beachfront,1247338
4405,9,9,2,8,8672,Countryside,1303070
1001,2,8,4,9,2525,Beachfront,420376
4933,3,4,3,6,9831,Countryside,1203607
2950,7,2,0,1,5019,Beachfront,786374
4468,3,7,3,8,8030,Downtown,1233757
3886,7,1,2,7,3139,Downtown,1027433
4434,3,6,2,6,5246,Suburb,1104312
1433,4,6,0,4,1311,Countryside,448783
4309,6,5,1,3,3428,Suburb,1018216
2166,1,1,2,6,8096,Suburb,653114
4851,7,1,0,5,6621,Downtown,1167365
4516,1,4,0,8,8166,Countryside,1107063
4421,2,1,1,2,6879,Countryside,985017
3949,5,6,2,7,1769,Suburb,988529
1915,7,9,1,1,5255,Suburb,553062
2913,5,1,2,4,1586,Suburb,736097
4786,2,1,4,4,4036,Beachfront,1057556
2344,1,9,1,4,2106,Countryside,681759
3875,4,9,0,7,2445,Downtown,1022934
4053,1,6,3,1,8300,Countryside,935957
3667,8,1,2,5,8852,Suburb,1024743
4700,9,1,2,8,2102,Beachfront,1165587
3580,3,1,3,7,3434,Beachfront,886831
4171,9,4,3,5,9835,Beachfront,1170368
4521,4,8,4,2,1809,Beachfront,1046009
1046,3,6,4,2,4782,Downtown,374364
1394,1,7,3,4,6741,Suburb,454848
4374,4,6,0,8,3714,Beachfront,1168439
1196,2,8,1,7,9014,Downtown,483378
3649,6,9,4,9,2034,Suburb,1003903
1371,1,9,4,9,3639,Downtown,550064
1809,3,9,2,6,3751,Beachfront,619675
1972,6,1,1,8,8636,Countryside,654661
747,2,4,0,6,5885,Beachfront,356774
2471,8,3,1,2,4025,Suburb,649127
843,1,1,2,8,8062,Countryside,431028
1742,6,2,2,4,9265,Downtown,593808
4615,7,3,4,4,1014,Suburb,1137788
3316,1,9,0,8,1354,Suburb,907130
655,4,1,1,2,2829,Suburb,285944
3209,9,3,0,3,7532,Countryside,832936
4220,5,1,0,4,5385,Countryside,1008785
1966,2,1,0,2,4171,Beachfront,510750
2286,9,9,4,5,7939,Beachfront,755698
4783,4,1,3,8,3743,Suburb,1149474
3723,8,4,2,9,2868,Beachfront,1017288
4531,2,5,3,6,5682,Countryside,1112768
950,3,3,4,4,3331,Beachfront,363037
3000,8,1,1,3,2245,Countryside,769173
2440,8,5,0,7,8682,Suburb,803939
3452,3,2,1,8,3331,Suburb,881851
3753,2,5,0,2,5814,Downtown,891872
1067,6,3,2,8,7471,Downtown,466877
796,7,5,3,1,1567,Suburb,348869
3599,7,6,4,4,2045,Suburb,945397
943,9,9,4,7,2414,Downtown,521473
510,4,2,3,3,8528,Downtown,344311
2482,5,6,1,8,1004,Downtown,776318
3581,5,1,3,6,7306,Beachfront,919534
3891,1,8,2,4,7185,Downtown,1020394
746,9,7,0,3,6296,Beachfront,368424
809,2,3,2,9,1972,Suburb,330952
4682,9,6,1,9,1862,Suburb,1268423
1019,3,5,4,1,3985,Suburb,381195
2321,9,3,1,3,3576,Countryside,650991
2909,4,9,1,9,2567,Beachfront,835016
3318,2,7,4,2,3171,Suburb,807071
3668,7,7,4,6,3453,Countryside,980970
1546,1,8,2,3,3896,Downtown,473572
4325,7,7,0,4,8861,Beachfront,1095284
1730,7,9,0,5,7428,Countryside,672743
2647,6,9,1,1,6821,Beachfront,748819
4928,6,8,2,1,7912,Countryside,1218517
2300,4,3,1,6,3323,Beachfront,649497
3580,9,1,0,1,9813,Countryside,910782
1505,6,4,2,6,3966,Countryside,529648
1098,3,2,0,1,2158,Suburb,347554
2923,5,4,2,6,3756,Downtown,778473
3422,9,6,0,1,3087,Countryside,902080
963,2,9,4,2,4693,Downtown,378339
584,3,3,3,2,9671,Suburb,285995
916,2,5,2,4,2796,Downtown,368492
2578,7,2,1,8,8807,Beachfront,858019
2586,7,1,0,1,7175,Countryside,679419
2485,7,4,0,1,1875,Downtown,616966
4817,4,9,0,3,5651,Downtown,1203262
3628,7,8,0,8,2285,Suburb,958904
1028,3,3,4,8,8168,Downtown,479121
4688,8,6,3,5,3999,Countryside,1224143
4598,6,4,0,9,1805,Countryside,1128792
2148,9,8,1,3,3010,Beachfront,648337
3474,2,7,2,2,4024,Suburb,812989
2296,3,1,1,7,3559,Downtown,601988
4406,6,1,4,7,4248,Downtown,1120419
4930,1,7,4,2,1914,Downtown,1129047
759,9,7,4,8,8449,Beachfront,539650
2799,6,1,4,3,7685,Downtown,795067
4019,5,8,0,7,2405,Suburb,1052139
4483,4,6,3,8,1238,Beachfront,1134560
768,5,9,4,1,7355,Suburb,428061
2695,1,9,2,2,4283,Countryside,663708
2888,2,5,1,9,3412,Downtown,818624
3762,5,8,0,8,9479,Beachfront,1066486
4968,8,6,0,2,5888,Beachfront,1251782
1074,6,1,4,8,2097,Beachfront,394425
3140,8,9,1,6,1480,Beachfront,863912
1323,1,1,1,4,6603,Beachfront,400327
3207,6,7,0,5,5781,Suburb,853575
3878,1,2,0,1,3556,Beachfront,834065
1712,7,9,0,5,1065,Beachfront,549449
3985,3,5,0,7,7809,Countryside,1015914
1338,5,6,4,1,5348,Countryside,434010
2582,6,1,2,3,9625,Downtown,780809
1405,7,6,2,2,1590,Downtown,462175
1075,8,2,2,5,8932,Suburb,492863
4227,4,2,4,9,1809,Beachfront,1074980
3027,7,3,3,8,2353,Suburb,811701
4565,8,3,0,1,6514,Beachfront,1145111
2608,8,7,3,9,4114,Suburb,861635
1811,7,1,0,5,8125,Downtown,583596
4078,2,6,3,2,1491,Downtown,986376
978,5,7,3,9,4419,Suburb,519559
2726,8,3,2,8,7700,Suburb,841119
